dia,horario,pilar,formato,texto,cta,visual
2,11:30,Intercessão,Texto,"Hoje rezamos por quem procura trabalho, por quem teme perder o sustento e por quem precisa recomeçar profissionalmente. São José, intercedei por nós.","Marque apenas quem acolheria esta oração.","Ferramentas de carpinteiro, lírios e luz"
2,13:30,Penitência,Imagem,"Uma penitência possível: passar algumas horas sem reclamar. Quando a queixa vier, transforme-a em oração por alguém.","Experimente até o fim do dia.","Pedras no caminho se tornando pontos de luz"
2,15:30,Esperança,Texto,"Nem toda resposta chega depressa. Algumas chegam como força para continuar, clareza para esperar ou coragem para pedir ajuda.","Salve para os dias de incerteza.","Banco vazio em capela, feixe de luz"
2,17:30,Santo Rosário,Imagem,"Cada Ave-Maria é uma pequena entrega. Não é preciso rezar com pressa; basta permanecer mistério por mistério.","Reze hoje ao menos uma dezena.","Rosário sobre tecido azul e dourado"
2,19:30,Formação,Carrossel,"Oração vocal, meditação e contemplação não competem entre si. São caminhos que educam o coração para a presença de Deus.","Qual dessas formas você deseja aprofundar?","Três painéis: lábios, Bíblia, silêncio"
2,21:00,Oração da noite,Imagem,"Jesus, recebe tudo o que ficou incompleto. Perdoa nossas faltas, restaura nossos afetos e concede uma noite de verdadeira paz.","Reze por quem não consegue dormir.","Quarto sereno, crucifixo e luar"
2,22:15,Comunidade,Texto,"Você não precisa falar o tempo todo para pertencer. Na SPES, também há lugar para quem chega em silêncio e apenas precisa ser sustentado em oração.","Conheça o grupo gratuito.","Mãos diferentes segurando pequenas velas"
3,05:30,Consagração do dia,Imagem,"Senhor, que os meus olhos encontrem o bem, minhas palavras levem paz e minhas escolhas revelem a esperança que recebi de Vós.","Faça o sinal da cruz e comece.","Caminho iluminado entre oliveiras"
3,07:30,Evangelho,Texto,"A fé cresce quando a Palavra deixa de ser apenas lida e começa a ser praticada. Escolha hoje uma frase do Evangelho para obedecer.","Escreva a frase escolhida.","Bíblia com marcador dourado"
3,09:30,Santo da semana,Imagem,"São Carlo Acutis compreendeu cedo que a Eucaristia não era um detalhe da semana, mas direção para a vida inteira.","Peça sua intercessão pela juventude.","Igreja contemporânea iluminada e jovem peregrino de costas"
3,11:30,Oração pelos doentes,Imagem,"Senhor Jesus, permanece junto aos enfermos, fortalece suas famílias e ilumina médicos, enfermeiros e cuidadores. Nossa Senhora da Saúde, rogai por nós.","Inclua uma pessoa pelo primeiro nome.","Mãos cuidadoras e luz branca acolhedora"
3,13:30,Jejum,Texto,"Jejum sem caridade vira exercício de vontade. Hoje, una uma renúncia a um gesto concreto de paciência, escuta ou reconciliação.","Escolha um gesto silencioso.","Pão repartido sobre mesa simples"
3,15:30,Esperança,Imagem,"Quando o coração disser “não vai mudar”, responda com mansidão: Deus ainda está agindo onde meus olhos não alcançam.","Envie a quem está quase desistindo.","Semente brotando entre pedras"
3,17:30,Nossa Senhora,Carrossel,"Maria não precisou controlar tudo para confiar em Deus. Seu sim foi presença, escuta e disponibilidade.","Qual preocupação você precisa entregar?","Estrela, manto azul e caminho"
3,19:30,Gratidão,Texto,"A gratidão não apaga o sofrimento. Ela impede que o sofrimento apague todo o bem que ainda existe.","Anote três graças pequenas deste dia.","Três pequenas luzes sobre fundo azul"
3,21:00,Oração da noite,Imagem,"Pai, acolhe quem termina este dia sem respostas. Dá descanso ao corpo, silêncio à mente e esperança à alma. Amém.","Permaneça um minuto em silêncio.","Céu noturno refletido em lago"
3,22:15,Convite,Imagem,"A oração diária não exige uma vida perfeita. Exige apenas um coração disposto a voltar.","Entre na comunidade e recomece amanhã.","Porta de igreja entreaberta com luz"
4,05:30,Oração da manhã,Imagem,"Espírito Santo, visita nossas decisões. Afasta a precipitação, cura a ansiedade e concede sabedoria para o próximo passo.","Reze antes da primeira decisão importante.","Pomba de luz abstrata, sem figura literal"
4,07:30,Salmo,Imagem,"“Confia ao Senhor a tua sorte, espera nele, e ele agirá.” — Sl 37,5","Guarde esta Palavra.","Estrada entregue ao horizonte dourado"
4,09:30,Santo da semana,Texto,"A santidade de Carlo Acutis lembra que disciplina espiritual e alegria não são opostas. A proximidade com Deus torna o cotidiano mais inteiro.","Que hábito simples aproximaria você de Deus?","Tênis de peregrino ao lado de uma capela"
4,11:30,Intercessão pelas famílias,Imagem,"Senhor, visita as famílias feridas pela distância, pelas palavras duras e pelo cansaço. Onde houver ruptura, prepara caminhos de reconciliação.","Reze por sua casa.","Mesa familiar vazia com vela central"
4,13:30,Penitência digital,Carrossel,"Uma penitência para o nosso tempo: desligar notificações por uma hora e devolver esse tempo à oração, à presença e a alguém que está perto.","Experimente hoje.","Celular em silêncio, rosário e relógio"
4,15:30,Esperança,Texto,"Pedir ajuda também pode ser um ato de esperança. Deus age pela oração, pela comunidade e pelo cuidado responsável de outras pessoas.","Compartilhe sem expor ninguém.","Duas mãos se encontrando"
4,17:30,Santo Rosário,Imagem,"Se hoje o Rosário inteiro parece difícil, comece por uma dezena. A perseverança cresce em passos pequenos.","Escolha um mistério e comece.","Dez contas iluminadas do rosário"
4,19:30,Catequese,Texto,"Os santos não substituem Deus. Eles testemunham o que a graça de Deus pode realizar em uma vida disponível.","Salve para explicar a alguém.","Vitrais com diferentes santos"
4,21:00,Oração da noite,Imagem,"São Miguel Arcanjo, protegei nossas famílias, guardai nossos pensamentos e ajudai-nos a permanecer fiéis no combate de cada dia. Amém.","Reze com confiança, sem medo.","São Miguel em arte sacra luminosa, sem violência gráfica"
4,22:15,Comunidade,Texto,"Existem noites em que a fé de outra pessoa nos carrega. Amanhã, talvez a sua oração carregue alguém.","Entre para rezar e ser sustentado.","Rede de pequenas luzes na escuridão"
5,05:30,Oração da manhã,Imagem,"Senhor, não permitas que a pressa roube a Tua presença. Dá-nos atenção para o bem que deve ser feito hoje.","Comece com três respirações em silêncio.","Relógio antigo, cruz e amanhecer"
5,07:30,Palavra,Imagem,"“A esperança não decepciona, porque o amor de Deus foi derramado em nossos corações.” — Rm 5,5","Repita ao longo do dia: a esperança não decepciona.","Coração de luz abstrato sobre azul"
5,09:30,Santo da semana,Carrossel,"Três traços para aprender com São Carlo Acutis: amor à Eucaristia, serviço aos pobres e uso responsável da tecnologia.","Escolha um deles para viver nesta semana.","Três símbolos: pão, mãos que servem, luz digital"
5,11:30,Oração por quem sofre,Texto,"Deus de toda consolação, alcança quem perdeu alguém, quem recebeu uma notícia difícil e quem não encontra palavras para rezar.","Nós rezamos também no silêncio.","Chuva suave vista de uma capela"
5,13:30,Jejum,Imagem,"A renúncia cristã abre espaço. Menos excesso, mais escuta. Menos impulso, mais liberdade. Menos ego, mais Deus.","Escolha algo pequeno e ofereça com amor.","Tigela vazia com ramo de oliveira"
5,15:30,Esperança,Imagem,"Recomeçar não apaga o caminho anterior. Recomeçar prova que a graça ainda encontrou uma porta aberta.","Marque este dia como um novo começo.","Porta antiga aberta para jardim iluminado"
5,17:30,Nossa Senhora,Texto,"Maria, Mãe da Esperança, fica junto de quem espera uma resposta, uma cura, um retorno ou uma reconciliação. Ensina-nos a confiar sem endurecer.","Reze uma Salve-Rainha.","Coroa discreta, estrelas e manto azul"
5,19:30,Exame semanal,Carrossel,"Antes da nova semana: onde Deus me sustentou? Onde fui chamado a mudar? Por quem continuarei rezando?","Reserve cinco minutos.","Caderno com três perguntas"
5,21:00,Oração da noite,Imagem,"Senhor, obrigado por nos trazer até aqui. Recebe nossas vitórias e quedas. Amanhã, chama-nos novamente para perto. Amém.","Descanse na presença de Deus.","Caminho noturno apontando para igreja iluminada"
5,22:15,Convite final,Imagem,"Os 40 dias podem abrir a porta. A oração diária, a Palavra e o exemplo dos santos ajudam a permanecer no caminho.","Entre gratuitamente na SPES.","Capa SPES com luz dourada, cruz e estrada"
